"","soil.char.site_unique","soil.char.site_location_name","soil.char.site_location_visit_id","soil.char.upper_depth","soil.char.lower_depth","soil.char.horizon","soil.char.texture_grade","soil.char.texture_qualifier","soil.char.texture_modifier","soil.char.colour_when_moist","soil.char.colour_when_dry","soil.char.mottles_colour","soil.char.mottles_abundance","soil.char.mottles_size","soil.char.segregations_abundance","soil.char.segregations_size","soil.char.segregations_nature","soil.char.segregations_form","soil.char.comments","soil.char.collected_by","soil.char.smallest_size_1","soil.char.smallest_size_2","soil.char.effervescence","soil.char.ec","soil.char.ph","soil.char.pedality_grade","soil.char.pedality_fabric","soil.char.next_size_type_2","soil.char.next_size_type_1","soil.char.smallest_size_type_2","soil.char.smallest_size_type_1","soil.char.next_size_2","soil.char.next_size_1","soil.char.layer_barcode"
"11","WAAPIL0032-58416","WAAPIL0032",58416,0,0.08,"A1","SL","NC","NC","10R34",NA,"n/a","0","n/a","0","n/a","n/a","n/a","Pit in NW corner. 
Stopped by weathering bedrock (ironstone).
B2r includes much weathering bedrock.
No bulk densities taken due to high coarse fragment abundance. Some subsites unable to collect all samples due to shallow soils. ",17,NA,NA,"N",0.04,4.9,"V","E","NC","NC","NC","NC",NA,NA,"WAA053938"
"12","NSABHC0013-53608","NSABHC0013",53608,0.1,0.2,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility, The University of Adelaide, South Australia.",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050410"
"13","WAAPIL0033-58417","WAAPIL0033",58417,0,0.06,"A1","ZL","-","NC","10R34",NA,"n/a","0","n/a","0","n/a","n/a","n/a","Pit near W3.
Stopped at 26 cm by weathering ironstone bedrock.",17,"2",NA,"N",0.04,6.1,"W","R","NC","NC","NC","AB",NA,NA,"WAA054196"
"14","WAAPIL0033-58417","WAAPIL0033",58417,0.06,0.26,"B2","ZL","+","NC","10R44",NA,"n/a","0","n/a","0","n/a","n/a","n/a","Pit near W3.
Stopped at 26 cm by weathering ironstone bedrock.",17,"4",NA,"N",0.02,6.1,"W","R","NC","NC","NC","AB",NA,NA,"WAA054197"
"15","NSABHC0013-53608","NSABHC0013",53608,0.2,0.3,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility, The University of Adelaide, South Australia.
",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050411"
"16","WAAPIL0034-58418","WAAPIL0034",58418,0,0.06,"A11","S","NC","NC","10R44",NA,"n/a","0","n/a","0","n/a","n/a","n/a",NA,17,NA,NA,"N",0.04,6.3,"G","G","NC","NC","NC","NC",NA,NA,"WAA053962"
"17","WAAPIL0034-58418","WAAPIL0034",58418,0.06,1,"A12","S","NC","NC","10R46",NA,"n/a","0","n/a","0","n/a","n/a","n/a",NA,17,NA,NA,"N",0.02,6.3,"G","G","NC","NC","NC","NC",NA,NA,"WAA053963"
"18","QDAMGD0018-53541","QDAMGD0018",53541,0.03,0.7,"","MHC","NC","NC","","","NC","NC","NC","NC","NC","NC","NC","Pit to 45 cm. Auger to 1.20m. Large rounded stones randomly scattered throughout site.",2,"1",NA,"H",0.48,8.9,"W","S","NC","NC","NC","AB",NA,"2","QDA   051459"
"19","NSABHC0012-53607","NSABHC0012",53607,0.1,0.2,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility, The University of Adelaide, South Australia.",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050379"
"20","WAAPIL0035-58419","WAAPIL0035",58419,0,0.09,"A1","S","NC","NC","10R44",NA,"n/a","0","n/a","0","n/a","n/a","n/a","Pit in NE corner. Pit to 60 cm, auger to 1 m.
Coarse fragments on surface and in profile also consist of 50 % quartz fragments.
B22 much more ""crunchy"", possibly tending toward parent material.",17,NA,NA,"N",0.02,6.1,"G","G","NC","NC","NC","NC",NA,NA,"WAA053991"
"21","WAAPIL0035-58419","WAAPIL0035",58419,0.09,0.85,"B21","CS","-","NC","10R34",NA,"n/a","0","n/a","0","n/a","n/a","n/a","Pit in NE corner. Pit to 60 cm, auger to 1 m.
Coarse fragments on surface and in profile also consist of 50 % quartz fragments.
B22 much more ""crunchy"", possibly tending toward parent material.",17,NA,NA,"N",0.02,6.1,"G","G","NC","NC","NC","NC",NA,NA,"WAA053992"
"22","NTAGFU0001-53648","NTAGFU0001",53648,0.1,0.45,"B21","SCL",NA,NA,"5YR46","5YR44","NC","NC","NC","NC","NC","NC","NC","Pit to 30cm.Auger to 90cm. Stopped by rock. Pit photos 0003, 0004.",2,"11",NA,"N",NA,7.1,"V","E","NC","NC","NC","NC",NA,"11","NTA050605"
"23","NSTSYB0007-58496","NSTSYB0007",58496,0,0.03,"O2","NC","NC","NC","NC","NC","n/a","0","n/a","0","n/a","n/a","n/a","BS's 0-10 and 10-20.Wombat holes throughout site.",2,NA,NA,"N",0.07,4.5,"NC","NC","NC","NC","NC","NC",NA,NA,"NST004158"
"24","NSTSYB0001-58122","NSTSYB0001",58122,0.45,0.73,NA,"CLS","NC","NC","2.5Y66",NA,"Y","3","2","0","n/a","n/a","n/a","Mottles - Z - Intrusion of weathered substrate material. Sandstone outcrops throughout site.",2,NA,NA,"N",0.02,5.1,"V","E","NC","NC","NC","NC",NA,NA,"NST004003"
"25","NSTSYB0007-58496","NSTSYB0007",58496,0.03,0.3,"A11","CS","n/a","n/a","7.5YR2.53","NC","n/a","0","n/a","0","n/a","n/a","NC","BS's 0-10 and 10-20.Wombat holes throughout site.",2,NA,NA,"N",0.01,5,"G","G","NC","NC","NC","NC",NA,NA,"NST004159"
"26","NSTSYB0007-58496","NSTSYB0007",58496,0.3,0.85,"A12","CS","NC","NC","5YR46","NC","n/a","0","n/a","0","n/a","n/a","NC","BS's 0-10 and 10-20.Wombat holes throughout site.",2,NA,NA,"N",0,5.3,"G","G","NC","NC","NC","NC",NA,NA,"NST004160"
"27","NSTSYB0007-58496","NSTSYB0007",58496,0.85,1.1,"A13","CS","NC","NC","7.5YR58","NC","n/a","0","n/a","0","NC","NC","NC","BS's 0-10 and 10-20.Wombat holes throughout site.",2,NA,NA,"N",0,5.4,"G","G","NC","NC","NC","NC",NA,NA,"NST004161"
"28","WAAPIL0035-58419","WAAPIL0035",58419,0.85,1,"B22","CS","+","NC","10R34",NA,"n/a","0","n/a","0","n/a","n/a","n/a","Pit in NE corner. Pit to 60 cm, auger to 1 m.
Coarse fragments on surface and in profile also consist of 50 % quartz fragments.
B22 much more ""crunchy"", possibly tending toward parent material.",17,NA,NA,"N",0.02,6.2,"G","G","NC","NC","NC","NC",NA,NA,"WAA053993"
"29","WAGCOO0001-53613","WAGCOO0001",53613,0.1,0.2,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC",NA,NA,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","AUG006002"
"30","QDAMII0001-53504","QDAMII0001",53504,0,0.02,"A1","LS","NC","NC","5YR34","","NC","NC","NC","NC","NC","NC","NC","Pit to 30cm. Auger to 40cm. Stopped by Gravel/Too Hard",2,"11",NA,"N",0.13,6.1,"V","E","NC","NC","NC","NC",NA,"11","QDA   050861"
"31","NSABHC0012-53607","NSABHC0012",53607,0.2,0.3,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility, The University of Adelaide, South Australia.",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050380"
"32","SAASTP0011-53728","SAASTP0011",53728,0,0.1,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC",NA,14,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","SAA051011"
"33","NSABHC0012-53607","NSABHC0012",53607,0,0.1,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility, The University of Adelaide, South Australia.
",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050378"
"34","WAASWA0002-58030","WAASWA0002",58030,0.24,1,"A12","S","NC","NC","5Y71","NC","n/a","0","n/a","0","n/a","n/a","n/a","Pit to 40 cm, auger to 1 m. 
",17,NA,NA,"N",0.02,6.7,"G","G","NC","NC","NC","NC",NA,"11","WAA054139"
"35","WAASWA0002-58030","WAASWA0002",58030,0,0.05,"O","NC","NC","NC","10YR22","NC","n/a","0","n/a","0","n/a","n/a","n/a","Pit to 40 cm, auger to 1 m. 
O Horizon is a Sandy Peat layer, Structural Grade and Fabric not applicable. ",17,"10",NA,"N",0.2,5.2,"NC","NC","NC","NC","NC","n/a",NA,"10","WAA054137"
"36","WAASWA0002-58030","WAASWA0002",58030,0.05,0.24,"A11","S","NC","NC","5Y41","NC","n/a","0","n/a","0","n/a","n/a","n/a","Pit to 40 cm, auger to 1 m. 
",17,"11",NA,"N",0.03,5.6,"G","G","NC","NC","NC","NC",NA,"11","WAA054138"
"37","NSABHC0011-53606","NSABHC0011",53606,0.4,0.5,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility, The University of Adelaide, South Australia.
",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050349"
"38","WAASWA0003-58031","WAASWA0003",58031,0,0.18,"A1","L","NC","NC","7.5YR2.52",NA,"n/a","0","n/a","0","n/a","n/a","n/a","Pit in N.W. corner. 
Pit to 40 cm, auger to 1 m. ",17,"10",NA,"N",0.03,6.5,"V","E","NC","n/a","NC","n/a",NA,"10","WAA054167"
"39","WAASWA0003-58031","WAASWA0003",58031,0.18,1,"B2","ZL","NC","NC","7.5YR44",NA,"n/a","0","n/a","2","1","H","S","Pit in N.W. corner. 
Pit to 40 cm, auger to 1 m. ",17,"10",NA,"N",0.07,6.1,"V","E","NC","NC","NC","NC",NA,"10","WAA054168"
"40","NSABHC0011-53606","NSABHC0011",53606,0.5,0.6,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility, The University of Adelaide, South Australia.",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050350"
"41","SASRIV0001-57603","SASRIV0001",57603,0,0.15,"A1","MHC","n/a","n/a","2.5YR4/1",NA,"n/a","0","n/a","0","n/a","n/a","n/a","Pit in Southeast corner. 
A1 horizon contains organic material and fine roots.
Augered below 0.40 m, therefore unable to determine Fabric and Structure for B22 horizon.
Bulk density from 20 - 30 cm depth unable to collect as clay too dry and crumbling. ",17,"2",NA,"NC",0.2,6.7,"M","R","NC","PO","NC","PO",NA,"3","SAS 000152"
"42","SASRIV0001-57603","SASRIV0001",57603,0.15,0.85,"B21","HC","n/a","n/a","2.5YR5/1",NA,"n/a","0","n/a","0","n/a","n/a","n/a","Pit in Southeast corner. 
A1 horizon contains organic material and fine roots.
Augered below 0.40 m, therefore unable to determine Fabric and Structure for B22 horizon.
Bulk density from 20 - 30 cm depth unable to collect as clay too dry and crumbling. ",17,"4",NA,"NC",7.6,7.8,"S","R","NC","CO","NC","CO",NA,"6","SAS 000153"
"43","SASRIV0001-57603","SASRIV0001",57603,0.85,1,"B22","HC","n/a","n/a","2.5YR5/1",NA,"n/a","0","n/a","1","1","Y","X","Pit in Southeast corner. 
A1 horizon contains organic material and fine roots.
Augered below 0.40 m, therefore unable to determine Fabric and Structure for B22 horizon.
Bulk density from 20 - 30 cm depth unable to collect as clay too dry and crumbling. ",17,NA,NA,"NC",9.2,7.7,"NC","NC","NC","NC","NC","NC",NA,NA,"SAS 000154"
"44","NSABHC0011-53606","NSABHC0011",53606,0,0.1,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility, The University of Adelaide, South Australia.
",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050345"
"45","SASRIV0002-57604","SASRIV0002",57604,0,0.06,"A1","MC","n/a","n/a","10YR4/1",NA,"n/a","0","n/a","0","n/a","n/a","n/a","Augered below 0.35 m, therefore unable to determine Fabric and Structure for B22 horizon. 
Bulk density from 20 - 30 cm depth unable to collect as clay too dry and crumbling.",17,"2",NA,"NC",0.07,7.9,"M","R","NC","PO","NC","PO",NA,"3","SAS 000182"
"46","SASRIV0002-57604","SASRIV0002",57604,0.06,0.55,"B21","MHC","n/a","n/a","10YR5/2",NA,"n/a","0","n/a","0","n/a","n/a","n/a","Augered below 0.35 m, therefore unable to determine Fabric and Structure for B22 horizon. 
Bulk density from 20 - 30 cm depth unable to collect as clay too dry and crumbling.",17,"4",NA,"NC",7.4,6,"S","R","NC","CO","NC","CO",NA,"5","SAS 000183"
"47","SASRIV0002-57604","SASRIV0002",57604,0.55,1,"B22","HC","n/a","n/a","10YR6/2",NA,"n/a","0","n/a","2","1","Y","X","Augered below 0.35 m, therefore unable to determine Fabric and Structure for B22 horizon. 
Bulk density from 20 - 30 cm depth unable to collect as clay too dry and crumbling.",17,NA,NA,"NC",8.8,6.1,"NC","NC","NC","NC","NC","NC",NA,NA,"SAS 000184"
"48","NSABHC0011-53606","NSABHC0011",53606,0.1,0.2,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility, The University of Adelaide, South Australia.",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050346"
"49","WAAGAS0001-58420","WAAGAS0001",58420,0,0.19,"A1","SCL","NC","NC","2.5YR36",NA,"n/a","0","n/a","0","n/a","n/a","n/a","Stopped at 19 cm by weathering Ironstone bedrock. 
Bulk density 20 - 30 cm unable to collect.",17,"10",NA,"N",0.04,5,"V","E","NC","NC","NC","NC",NA,"10","WAA053614"
"50","NTADAC0001-53518","NTADAC0001",53518,0.5,0.6,"NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","Stable flat soil surface across site with little bare soil exposed",11,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NTA  051892"
"51","NTADAC0001-53518","NTADAC0001",53518,0.8,0.9,"NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","Stable flat soil surface across site with little bare soil exposed",11,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NTA  051895"
"52","SATKAN0002-53689","SATKAN0002",53689,0.5,0.6,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC",NA,8,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","SAT005444"
"53","NSABHC0001-53596","NSABHC0001",53596,0.2,0.3,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility at The University of Adelaide, South Australia
",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050029"
"54","NTASSD0008-57074","NTASSD0008",57074,0,1.2,"A1","S","NC","NC","10R48","10R46","n/a","0","n/a","0","n/a","n/a","n/a","Auger to 1.2m. No change throughout profile. Pit photo NTASSD0008_SOL_20120919_PIT",2,"11",NA,"N",0.03,6.7,"G","G","NC","NC","NC","NC",NA,"11","NTA050933"
"55","NSABHC0001-53596","NSABHC0001",53596,0,0.1,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility at The University of Adelaide, South Australia

",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050027"
"56","NSABHC0001-53596","NSABHC0001",53596,0.1,0.2,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility at The University of Adelaide, South Australia
",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050028"
"57","NTAGFU0001-53648","NTAGFU0001",53648,0,0.1,"A1","SCL",NA,NA,"2.5YR2.53","7.5YR43","NC","NC","NC","NC","NC","NC","NC","Pit to 30cm.Auger to 90cm. Stopped by rock. Pit photos 0003, 0004.",2,"11",NA,"N",NA,7.1,"V","E","NC","NC","NC","NC",NA,"11","NTA050604"
"58","WAASWA0001-58029","WAASWA0001",58029,0.08,0.3,"A11","S","NC","NC","2.5Y31","NC","NC","0","NC","0","NC","NC","NC","Pit to 40 cm, auger to 1 m.
Pit in S.E. corner.
O Horizon is a Sandy Peat layer, Structural grade and Fabric not applicable. Plot long un-burnt. 
Boundary between A11 and A12 is gradational. ",17,"11",NA,"N",0,5.4,"G","G","NC","NC","NC","NC",NA,"11","WAA054108"
"59","NSABHC0002-53597","NSABHC0002",53597,0.1,0.2,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility at The University of Adelaide, South Australia
",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050058"
"60","NTAGFU0011-53658","NTAGFU0011",53658,0.25,0.45,"B/C","SL",NA,NA,"5YR44","7.5YR66","NC","NC","NC","NC","NC","NC","NC",NA,2,"11",NA,"N",NA,6.2,"V","E","NC","NC","NC","NC",NA,"11","AUG011508"
"61","WAGCOO0001-53613","WAGCOO0001",53613,0.9,1,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC",NA,NA,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","AUG006010"
"62","NSABHC0002-53597","NSABHC0002",53597,0.2,0.3,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility at The University of Adelaide, South Australia

",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050059"
"63","NTAGFU0012-53659","NTAGFU0012",53659,0.03,0.25,"A3","SL",NA,NA,"7.5YR44","10YR64","NC","NC","NC","NC","NC","NC","NC",NA,2,"11",NA,"N",NA,6.7,"V","E","NC","NC","NC","NC",NA,"11","NTA051261"
"64","NSABHC0002-53597","NSABHC0002",53597,0.3,0.4,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility at The University of Adelaide, South Australia
",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050060"
"65","NTAGFU0012-53659","NTAGFU0012",53659,0.3,0.45,"B2","CLS",NA,NA,"7.5YR58",NA,"NC","NC","NC","NC","NC","NC","NC",NA,2,"11",NA,"N",NA,6.6,"NC","NC","NC","NC","NC","NC",NA,"11","NTA051263"
"66","NSABHC0003-53598","NSABHC0003",53598,0.1,0.2,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility at The University of Adelaide, South Australia

",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050089"
"67","NTAGFU0015-53662","NTAGFU0015",53662,0,0.15,"A1","SCL",NA,NA,"5YR43","7.5YR43","NC","NC","NC","NC","NC","NC","NC",NA,2,"11",NA,"N",NA,6.5,"V","E","NC","NC","NC","NC",NA,"11","NTA051212"
"68","NSABHC0003-53598","NSABHC0003",53598,0.2,0.3,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility at The University of Adelaide, South Australia
",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050090"
"69","NTAGFU0015-53662","NTAGFU0015",53662,0.15,0.35,"B2","SCL",NA,NA,"7.5YR56","7.5YR66","NC","NC","NC","NC","NC","NC","NC",NA,2,"11",NA,"N",NA,6.7,"V","E","NC","NC","NC","NC",NA,"11","NTA051213"
"70","NSABHC0003-53598","NSABHC0003",53598,0.5,0.6,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility at The University of Adelaide, South Australia

",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050093"
"71","NTAGFU0017-53664","NTAGFU0017",53664,0,0.1,"A11","S",NA,NA,"7.5YR32",NA,"NC","NC","NC","NC","NC","NC","NC",NA,2,"11",NA,"N",NA,7.1,"G","G","NC","NC","NC","NC",NA,"11","NTA051289"
"72","NSABHC0003-53598","NSABHC0003",53598,0,0.1,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility at The University of Adelaide, South Australia

",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050088"
"73","NSABHC0004-53599","NSABHC0004",53599,0.3,0.4,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility at The University of Adelaide, South Australia
",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050124"
"74","NSABHC0004-53599","NSABHC0004",53599,0.5,0.6,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility at The University of Adelaide, South Australia
",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050126"
"75","WAAVIB0003-58500","WAAVIB0003",58500,0,0.09,"A11","LS","NC","NC","7.5YR2.52",NA,"n/a","0","n/a","0","n/a","n/a","n/a","Large amount of large (4) coarse fragments. Pit to 25cm.",2,NA,NA,"N",0.17,5.5,"G","G","NC","NC","NC","NC",NA,NA,"WAA053507"
"76","WAAVIB0003-58500","WAAVIB0003",58500,0.09,0.25,"A12","S","NC","NC","7.5YR34",NA,"n/a","0","n/a","0","n/a","n/a","n/a","Large amount of large (4) coarse fragments. Pit to 25cm.",2,NA,NA,"N",0.02,5.8,"G","G","NC","NC","NC","NC",NA,NA,"WAA053508"
"77","SAASTP0015-53715","SAASTP0015",53715,0.1,0.2,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC",NA,14,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","SAA050142"
"78","NSABHC0004-53599","NSABHC0004",53599,0.6,0.7,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility at The University of Adelaide, South Australia
",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050127"
"79","NSABHC0004-53599","NSABHC0004",53599,0.1,0.2,"NC","NC",NA,NA,NA,NA,"NC","NC","NC","NC","NC","NC","NC","Soil samples lodged at the TERN facility at The University of Adelaide, South Australia",7,"11",NA,"NC",NA,NA,"NC","NC","NC","NC","NC","NC",NA,"11","NSA 050122"
