"","struct.summ.site_unique","struct.summ.site_location_name","struct.summ.site_location_visit_id","struct.summ.phenology_comment","struct.summ.upper_1_dominant","struct.summ.upper_2_dominant","struct.summ.upper_3_dominant","struct.summ.mid_1_dominant","struct.summ.mid_2_dominant","struct.summ.mid_3_dominant","struct.summ.ground_1_dominant","struct.summ.ground_2_dominant","struct.summ.ground_3_dominant","struct.summ.description","struct.summ.mass_flowering_event"
"11","NTAFIN0031-53749","NTAFIN0031",53749,"Ptilotus clementii flowering throughout the site. Eremophila freelingii has just finished- dry flower heads still present. Tussock grasses have dried off","","","","NTA 005061","","","NTA 005059","NTA 005057","NTA 005054","Eremophila freelingii low sparse shrubland with emergent Acacia aptaneura on southern boundary. Sparse ground stratum dominated by Tripogon loliiformis and Sclerolaena diacantha.",FALSE
"12","NTABRT0001-58861","NTABRT0001",58861,"Climate response is dry. Vegetation response is dry. Enneapogon polyphyllus, Eriachne helmsii are seeding. Most other grasses have dropped seed.","NTA025338","NTA025318","NTA025292","NTA025318","NTA025338","NTA025290","NTA025304","NTA025348","NTA025320","Acacia aneura var. major / Acacia aptaneura low open woodland to tall sparse shrubland with a ground stratum dominated by tussock grasses Paspalidium rarum, and Aristida holathera var. holathera.  Isolated Psydrax latifolia and other shrubs in the mid-stratum.",FALSE
"13","NTABRT0001-53616","NTABRT0001",53616,"Flowering in both Eremophila gilesii and Eremophila latrobei subsp. glabra. Patchy flowering in Acacia aptaneura and Acacia aneura","","","","NTA 001175","NTA 001180","NTA 001199","NTA 001189","","","Acacia aneura/ Acacia aptaneura tall shrubland with a ground stratum dominated by tussock grasses Thyridolepis mitchelliana, Eragrostis eriopoda subsp. red earth. Isolated Eremophila latrobei subsp. glabra and other shrubs in the mid-stratum.",FALSE
"14","NTAGFU0032-53679","NTAGFU0032",53679,"Melaleuca stenostachya has finished flowering and with not much fruit present. Tussock grasses all dry.","","","","NTA 004067","NTA 004077","","NTA 004037","NTA 004021","","Melaleuca stenostachya tall open shrubland with a tussock grass ground stratum of Sorghum plumosum. and Aristida holathera. Some recruitment in the Eucalyptus pruinosa and Melaleuca stenostachya with the cohort averaging 30cm. ",FALSE
"15","QDAMGD0021-53543","QDAMGD0021",53543,"Astrebla lappacea and Aristida latifolia about 1/4 still have seeds. ","","","","","","","QDA  001845","QDA  001831","QDA  001839","Astrebla elymoides / Aristida latifolia / Astrebla pectinata low open tussock grassland with scattered Tripogon loliiformis",FALSE
"16","NTTDAC0001-53755","NTTDAC0001",53755,"","NTT  003187","NTT  003137","NTT  003187","NTT  003221","NTT  003283","NTT  003231","NTT  003203","NTT  003271","NTT  003249","Eucalyptus tetrodonta mid open forest with Erythrophleum chlorostachys, Eucalyptus miniata and Corymbia ptychocarpa subsp. ptychocarpa. A mid stratum dominated by Petalostigma pubescens and Acacia difficilis and a ground stratum dominated by Sorghum and Chrysopogon fallax - particularly the Sorghum also present is Heteropogon triticeus.",FALSE
"17","QDAGUP0022-53484","QDAGUP0022",53484,"","","","","","","","QDA  004655","QDA  004641","","Xerochloa imberbis low open tussock grassland with Tecticornia indica and some patches of Sporobolus virginicus.",FALSE
"18","QDAMGD0004-53588","QDAMGD0004",53588,"","QDA 000421","","","QDA 000415","","","QDA 000375","QDA 000393","","Acacia cambagei low sparse woodland with Acacia tephrina. No Real mid-stratum. Understratum dominated by Dactyloctenium radulans with Sclerolaena cuneata.",FALSE
"19","NTASSD0001-53690","NTASSD0001",53690,"","","","","","","","NTA 004241","NTA 004297","NTA 004263","Triodia basedowii low open hummock grassland with Aristida holathera and Eragrostis eriopoda to a Dicrastylis costelloi and Scaevola depauperata mixed low shrubland.",FALSE
"20","NSAMDD0015-57636","NSAMDD0015",57636,"NC","NSA 011302","NSA 011289","None","NSA 011273","NSA 011261","NSA 011251","None","None","None","Casuarina cristata woodland (6-10m) with Alectryon oleifolius subsp. canescens and a mid stratum of Eremophila sturtii, Senna artemisioides subsp. x coriacea and Dodonaea viscosa subsp. angustissima (1-3m). Ground stratum is very sparse. ",FALSE
"21","NTASSD0003-53691","NTASSD0003",53691,"Calotis erinacea,  Ptilotus obovatus, Zygochloa paradoxa  and several of the forbs flowering through the site.","","","","NTA 004392","NTA 004404","NTA 004339","NTA 004395","NTA 004411","","Dicrastylis costelloi low open shrubland with Zygochloa paradoxa and Eremophila macdonnellii. Sparse ground stratum of Goodenia cycloptera and Monachather paradoxa. Some Rhagodia spinescens on dune crests with a few scattered down into the swale.",FALSE
"22","NTADAC0001-53518","NTADAC0001",53518,"NC","NTA 005896","NTA 005903","NTA 005904","NTA 005908","NTA 005876","NTA 005903","NTA 005852","NTA 005906","NTA 005903","Eucalyptus tetrodonta open forest with Eucalyptus miniata and Erythrophleum chlorostachys. A mid stratum dominated by Petalostigma quadriloculare and Pandanus spiralis. A ground stratum of Mixed tall tussock grasses.
",FALSE
"23","NTAFIN0013-53633","NTAFIN0013",53633,"Numerous annual forbs flowering through site. About 40mm of rain in previous 4-5 days","NTA 000484","","","NTA 000492","NTA 000513","","NTA 000498","","","Eucalyptus coolabah low woodland with diverse but sparse mid-stratum dominated by Senna artemisioides subsp. alicia and a sparse ground stratum dominated by Cenchrus ciliaris.

",FALSE
"24","WAANUL0009-56934","WAANUL0009",56934,"NC",NA,NA,NA,"WAA  006032",NA,NA,"WAA  006026","WAA  005992","WAA  006018","Acacia papyrocarpa sparse tall shrubland to Atriplex vesicaria Chenopod shrubland with scattered Cratystylis conocephala and Senna artemisioides subsp. filifolia.",FALSE
"25","SASMDD0001-58760","SASMDD0001",58760,"NC","SAA010212","SAA010218","None","None","None","None","SAA010220","SAA010232","SAA010202","Open woodland of Eucalyptus socialis subsp. socialis and Eucalyptus dumosa. The ground storey consists of Triodia scariosa,  Sclerolaena diacantha and Maireana sp. ",FALSE
"26","SASMDD0001-53710","SASMDD0001",53710,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eucalyptus cyanophylla - Eucalyptus dumosa intergrade / Eucalyptus socialis subsp. socialis mid open Mallee forest . Sparse midstratum of Dodonaea viscosa subsp. angustissima and ground stratum dominated by Triodia scariosa with scattered Austrostipa sp.",FALSE
"27","WAAAVW0005-58768","WAAAVW0005",58768,"NC","WAA022204","None","None","WAA022186","WAA022194","WAA022204","WAA022218","WAA022234","WAA022222","Eucalyptus loxophleba subsp. supralaevis  woodland with a mixed mid-storey of Acacia lineolata subsp. lineolata, Microcorys sp. Mt. Gibson (S. Patrick 2098) Eremophila oppositifolia subsp. angustifolia and a few juvenile Eucalyptus loxophleba subsp. supralaevis. Sparse ground-storey of Velleia rosea, Podolepis capillaris  and Calandrinia granulifera.",FALSE
"28","SAAEYB0003-58853","SAAEYB0003",58853,"Wet - rain in previous weeks","SAA012999","None","None","SAA013065","SAA012987","SAA013043","SAA013053","SAA012993","SAA013027","Eucalyptus diversifolia (4m) mid mallee woodland. A dense mixed mid stratum dominated by Templetonia retusa (1.5) and Melaleuca lanceolata (3m) with Beyeria lechenaultii (1m), Alyxia buxifolia, Pomaderris obcordata and Dodonaea humilis. A ground stratum dominated by Gahnia deusta (30cm) and Acrotriche patula (50cm)",FALSE
"29","NSAMDD0004-56953","NSAMDD0004",56953,NA,"NSA 010281",NA,NA,NA,NA,NA,"NSA 010287","NSA 010305",NA,"Casuarina pauper mid woodland. A ground stratum of Atriplex vesicaria subsp. vesicaria and Carrichtera annua.",FALSE
"30","SAAGVD0001-56925","SAAGVD0001",56925,"NC",NA,NA,NA,NA,NA,NA,"SAA  003834","SAA  003784","SAA  003778","Salsola tragus / Sclerolaena patenticuspis low sparse chenopod shrubland to  Enneapogon cylindricus / Enneapogon avenaceus low sparse tussock grassland.",FALSE
"31","SAANUL0002-56949","SAANUL0002",56949,"NC","SAA  004320","None","None","SAA  004342","SAA  004372","None","SAA  004292","SAA  004306","SAA  004356","Myoporum platycarpum subsp. platycarpum open shrubland to Atriplex vesicaria / Cratystylis sparse chenopod shrubland with emergent Eucalyptus gracilis and Acacia papyrocarpa.",NA
"32","WAANUL0004-56967","WAANUL0004",56967,"NC","WAA  004298","WAA  004286",NA,"WAA  004290","WAA  004304","WAA  004272","WAA  004230","WAA  004216","WAA  004278","Acacia papyrocarpa low woodland with scattered Acacia pteraneura (4-8m). Mid-stratum is Senna artemisioides subsp. petiolaris, Maireana sedifolia and Etemophila latrobei. Ground-stratum is Enneapogon cylindricus, Ptilotus obovatus and Schoenia ayersii with scattered forbs and annual grasses.",FALSE
"33","WAANUL0005-56931","WAANUL0005",56931,"NC",NA,NA,NA,"WAA  005724","WAA  005760","WAA  005744","WAA  005750","WAA  005746","WAA  005772","Tetragonia tetragonioides / Calotis sp. sparse mixed forbland to sparse shrubland of Acacia tetragonophylla, Grevillea sp. and Eremophila longifolia.",FALSE
"34","WAANUL0008-56933","WAANUL0008",56933,"NC",NA,NA,NA,NA,NA,NA,"WAA  005962","WAA  005954","WAA  005930","Salsola australis sparse low Chenopod shrubland with Zygophyllum ovatum,  Eriochiton sclerolaenoides and Carrichtera annua. 1 isolated Acacia oswaldii.",FALSE
"35","NTAFIN0017-53637","NTAFIN0017",53637,"Eucalyptus camaldulensis has just finished flowering, Active regrowth of Cynodon dactylon after fire approx. 6 weeks previous.  lots of recent rain- 1st 30-40m 2nd unsure","NTA 000659","","","","","","NTA 000666","","NTA 000669","Eucalyptus camaldulensis low open woodland with an understratum dominated by Cynodon dactylon.",FALSE
"36","QDABBN0002-58741","QDABBN0002",58741,"NC","QDA024857","QDA024899","None","QDA024897","QDA024749","QDA024769","QDA024895","QDA024907","QDA024775","Eucalyptus populnea woodland and Acacia leiocalyx subsp. leiocalyx with mid-storey of Alphitonia excelsa, Petalostigma pubescens. Lower mid-storey of Flindersia dissosperma, Capparis lasiantha, Eremophila mitchellii and juvenile Acacia leiocalyx subsp. leiocalyx   and Alphitonia excelsa. Ground layer of Aristida calycina, Cenchrus ciliaris, Enteropogon acicularis and Enteropogon  unispiceus, Eragrostis lacunaria. ",FALSE
"37","SAAGAW0003-56994","SAAGAW0003",56994,"NC","SAA  004566","SAA  004562","None","SAA  004574","SAA  004546","None","None","None","None","Casuarina pauper low woodland (5-8m) with mid stratum of Maireana sedifolia and Atriplex vesicaria (0.3-0.8m). Ground stratum mostly bare.",FALSE
"38","NSAMDD0016-56973","NSAMDD0016",56973,"NC",NA,NA,NA,NA,NA,NA,"NSA 011383","NSA 011401","NSA 011393","Salvia verbenaca / Euphorbia dallachyana low open forbland with Sclerolaena obliquicuspis. Isolated emergent Dodonaea viscosa subsp. angustissima and Eremophila glabra. No upper stratum. Some recruitment in the Dodonaea viscosa to 40cm with older shrubs to 1.8m
",FALSE
"39","SAAGVD0002-56926","SAAGVD0002",56926,"NC",NA,NA,NA,NA,NA,NA,"SAA  003888","SAA  003950","SAA  003962","Maireana sedifolia sparse chenopod shrubland with a mixed tussock understory of Enneapogon cylindricus, Aristida contorta with Trichanthodium skirrophorum and Salsola tragus. Some isolated emergent Acacia aneura.",FALSE
"40","SAAGVD0004-56947","SAAGVD0004",56947,"NC",NA,NA,NA,"SAA  004184",NA,NA,"SAA  004148","SAA  004144","SAA  004194","Acacia papyrocarpa sparse shrubland to low woodland with a chenopod shrubland understory dominated by Atriplex vesicaria, Maireana turbinata and Maireana sedifolia with Austrostipa nitida.",FALSE
"41","NTAFIN0009-58738","NTAFIN0009",58738,"NC","NTA024563","NO_BARCODE_DEAD_TREE_389595","None","NTA024615","NTA024557","NTA024565","NTA024551","NTA024681","NTA024683","Acacia kempeana tall open shrubland with isolated Acacia estrophiolata, Acacia aptaneura and Eucalyptus gamophylla trees. A mid-story of Senna artemisioides subsp. filifolia smaller A. kempeana. Ground stratum dominated by Triodia basedowii with Eragrostis eriopoda subsp. red earth with some Halgania and Dicrastylis.",FALSE
"42","NTAFIN0009-58015","NTAFIN0009",58015,"Dry- rain just after visit. Significant rain one month previous. Active vegetation growth- tussock grasses still green as is Triodia and forbs. Fruiting in Jasminum didymum
Chrysocephalum eremaeum and Goodenia mueckeana have just finished flowering. 
","NTA016223","-1","-1","NTA016253","-1","-1","NTA016239","NTA016263","NTA016273","Acacia kempeana tall open shrubland with isolated Acacia estrophiolata, Acacia aneura and Eucalyptus gamophylla trees. Ground stratum dominated by Triodia basedowii with Eragrostis eriopoda subsp. red earth and Chrysocephalum eremaeum.




",FALSE
"43","NTAFIN0009-53629","NTAFIN0009",53629,NA,NA,NA,NA,"NTA 000351","NTA 000345",NA,"NTA 000344","NTA 000349",NA,"Acacia kempeana tall sparse shrubland on side slope of irregularly shaped dune.",FALSE
"44","WAANUL0001-56966","WAANUL0001",56966,"NC","None","None","None","WAA  003785","WAA  003753","WAA  003759","WAA  003755","WAA  003757","WAA  003751","Atriplex vesicaria and Maireana sedifolia low open shrubland with ground layer of Austrostipa puberula, Rytidosperma caespitosum and Sclerolaena obliquicuspis on a limestone plain.",NA
"45","WAAMUR0028-59009","WAAMUR0028",59009,"In terms of climate and vegetation response, it is wet and the vegetation response is active growth. There has been rain in the past month or two, with subsurface moisture. Eucalyptus gongylocarpa has fruit, the Triodia basdowii is green but has shed seeds. Scattered triodia seed/fruit heads.


","WAA032704","NO_BARCODE_DEAD_TREE_88872","None","WAA032874","WAA032718","WAA032836","WAA032854","None","None","Upper stratum dominated by Eucalyptus gongylocarpa (8m) open woodland. Mid stratum of Eremophila forrestii subsp. forrestii, Acacia ligulata (4m) and Senna artemisioides (Gaudich. ex DC.) Randell subsp. x artemisioides shrubland. Ground stratum dominated by Triodia basedowii (25cm) hummock grassland ",FALSE
"46","WAAMUR0028-53572","WAAMUR0028",53572,"NC","WAA  004310",NA,NA,"WAA  004349","WAA  004344","WAA  004359","WAA  004384","WAA  004381","WAA  004317","Eucalyptus gongylocarpa mid open woodland (10-30m).  Sparse mallee shrubland (<10m) of Eucalyptus kingsmillii subsp. kingsmillii, and Eucalyptus sp.. Sparse shrubland (>2m) Acacia effusifolia, dead, and Acacia aneura. Isolated shrubs (1-2m) of Acacia caesaneura (Narrow phyllode variant), Eremophila longifolia, and Acacia ligulata. Isolated shrubs (<1m) of Eremophila ?forrestii, Senna artemisioides subsp. filifolia, Senna artemisioides subsp. x artemisioides, Eremophila platythamnos subsp. platythamnos, Halgania cyanea var. Allambi Station (B.W. Strong 676), Keraudrenia velutina subsp. elliptica ms, Bonamia erecta, and Scaevola parvifolia subsp. pilbarae. Open hummock grassland (<0.5m) of Triodia basedowii s. lat, and Triodia basedowii s. lat. (aff. T. lanigera); isolated tussocks of Eragrostis eriopoda. ",FALSE
"47","NSAMDD0018-56976","NSAMDD0018",56976,"NC","NSA 011939","NSA 011923","NSA 011917","NSA 011955","NSA 011949","NSA 011929","NSA 011967","NSA 011965","-1","Eucalyptus socialis / Eucalyptus dumosa mid Mallee woodland with Eucalyptus gracilis and scattered Callitris glaucophylla. A shrubby mid stratum of Senna artemisioides subsp. filifolia, Olearia muelleri and other shrubs. Ground stratum sparse - some Triodia scariosa as well as annual forbs.",FALSE
"48","NTAFIN0012-53632","NTAFIN0012",53632,"Grasses mostly dry with seed shed.","","","","","","","NTA 000459","NTA 000458","NTA 000468","Aristida contorta / Enneapogon polyphyllus low tussock grassland with scattered Fimbristylis dichotoma and Sclerolaena diacantha.",FALSE
"49","NSAMDD0013-56982","NSAMDD0013",56982,"NC","NSA 011055","NSA 011147","None","NSA 011073","NSA 011087","None","NSA 011165","NSA 011081","None","Eucalyptus dumosa and E. gracilis low open Mallee wood (1-2m) with mid stratum of Beyeria opaca and ground stratum of Triodia scariosa on dune.",FALSE
"50","WAAHAM0005-56961","WAAHAM0005",56961,"NC",NA,NA,NA,"WAA  003445","WAA  003393","WAA  003405","WAA  003427","WAA  003433","WAA  003411","Acacia spp. and Myoporum lineare mid shrubland with ground layer of Rhagodia baccata, Zygophyllum and Threlkeldia.",FALSE
"51","NSAMDD0011-56981","NSAMDD0011",56981,"NC","NSA 010937",NA,NA,"NSA 010923","NSA 010945","None","NSA 010917","None","None","Eucalyptus dumosa  low open Mallee woodland with a ground stratum of Triodia scariosa. Mid Stratum of scattered shrubs including Eremophila deserti, Myoporum platycarpum subsp. platycarpum and Dodonaea viscosa subsp. angustissima
",FALSE
"52","WAAGVD0014-59068","WAAGVD0014",59068,"Climate response is wet. Rain in the last 2 weeks.
Vegetation response is dry.

","WAA033434","WAA033432","WAA033550","WAA033576","WAA033586","WAA033420","WAA033436","WAA033543","WAA033422","Upper stratum dominated by Eucalyptus youngiana (2-4m), Eucalyptus concinna and Eucalyptus plumula open mallee woodland. Mid stratum dominated by Grevillea sp., Allocasuarina helmsii (0.5-1.5m), Acacia desertorum var. desertorum (1-2m) and Calothamnus gilesii shrubland. Ground stratum dominated by Triodia desertorum, Homalocalyx thryptomenoides and Thryptomene biseriata (<0.3m) hummock grassland",FALSE
"53","NTAFIN0018-53638","NTAFIN0018",53638,"","","","","","","","","","","Senna artemisioides subsp. alicia /Eremophila freelingii low open shrubland with a mixed sparse ground stratum of Enneapogon cylindricus, Enneapogon avenaceus and Tripogon loliiformis Fringing Acacia aneura on western edge.",FALSE
"54","NTAFIN0021-53641","NTAFIN0021",53641,"Rain in last month- regeneration.  ","","","","","","","NTA 000888","NTA 000874","NTA 000882","Enneapogon avenaceus / Sporobolus actinocladus low sparse tussock grassland with Sclerolaena cuneata.",FALSE
"55","VCAMDD0002-56990","VCAMDD0002",56990,"NC","VCA007079","None","None","None","None","None","VCA007041","VCA007065","None","Casuarina pauper mid woodland with 1 or 2 isolated emergent Callitris. An ground stratum of Atriplex sp. and mixed forbs. Isolated shrubs- Melaleuca, Dodonaea viscosa and Alectryon sp. in the mid stratum",NA
"56","NTAFIN0029-53747","NTAFIN0029",53747,"No fruit on Atriplex vesicaria. Tussock grasses dry. Maireana aphylla has no fruit or flowers. Maireana ciliata has fruit throughout the site.","","","","","","","NTA 004913","NTA 004928","NTA 004935","Enneapogon avenaceus, Tripogon loliiformis, Eragrostis setifolia low open tussock grassland.",FALSE
"57","NTAFIN0032-53750","NTAFIN0032",53750,"Acacia aneura and Acacia paraneura have just finished flowering throughout sites but not fruit present. Acacia kempeana has finished flowering and has fruit. Triodia pungens has all gone to seed. Tussock grasses dry and forbs have dried off.","","","","NTA 005089","NTA 005079","","NTA 005082","NTA 005109","NTA 005094","Acacia aptaneura / Acacia paraneura tall open shrubland with emergent Acacia estrophiolata and a ground stratum dominated by Eragrostis eriopoda subsp. red earth, Triodia pungens and Digitaria brownii.",FALSE
"58","NTAFIN0033-53751","NTAFIN0033",53751,"Acacia aneura has fruit. Acacia estrophiolata doesn’t have fruit. Tussock grasses have all dried out. Triodia pungens has just shed seed.","NTA 005116","","","NTA 005116","NTA 005156","","NTA 005160","NTA 005161","","Acacia estrophiolata low open woodland to tall open shrubland with tussock grass understratum dominated by Cenchrus ciliaris and Aristida holathera. Some scattered Senna artemisioides subsp. filifolia through the mid stratum.",FALSE
"59","QDAMGD0017-53499","QDAMGD0017",53499,"","","","","","","","QDA  003171","","","Astrebla lappacea low open tussock grassland with scattered Aristida latifolia.",FALSE
"60","NTAGFU0001-53648","NTAGFU0001",53648,"Eucalyptus pruinosa just finished flowering","NTA 001531",NA,NA,"NTA 001479","NTA 001521",NA,"NTA 001524","NTA 001525","NTA 001516","Eucalyptus pruinosa mid sparse Mallee woodland with mid stratum of Carissa lanceolata and a dense Aristida pruinosa, Enneapogon polyphyllus tussock grass understratum. ",FALSE
"61","NTAGFU0002-53649","NTAGFU0002",53649,"Triodia pungens have recently shed seeds.","NTA 001569",NA,NA,NA,NA,NA,"NTA 001568","NTA 001577",NA,"Eucalyptus leucophloia mid open Mallee woodland with a varied tussock grass understratum dominated by Eulalia aurea with Triodia pungens.",FALSE
"62","NTAGFU0003-53650","NTAGFU0003",53650,"Eucalyptus leucophloia  (that haven’t been burnt) have all fruited but haven’t opened. Eulalia aurea all have seed and are still fairly green. Triodia has fruited with seed already shed","NTA 001605",NA,NA,NA,NA,NA,"NTA 001637","NTA 001609","NTA 001607","Eucalyptus leucophloia mid Mallee woodland with mixed understratum dominated by Triodia bitextura and Eulalia aurea. Regenerating from fire on northern edge of the site.",FALSE
"63","NTAGFU0004-53651","NTAGFU0004",53651,"Regenerating after fire in previous dry season.","","","","","","","NTA 001710","","","Triodia bitextura low open grassland with emergent Corymbia sp. and some Grevillea wickhamii. ",FALSE
"64","NTAFIN0023-53643","NTAFIN0023",53643,NA,"NTA 001008",NA,NA,"NTA 001000",NA,NA,"NTA 001003","NTA 001007",NA,"Eucalyptus gamophylla low open Mallee shrubland with Triodia basedowii understratum and scattered Hakea leucoptera and other shrubs in the mid-stratum.",FALSE
"65","NTAGFU0005-53652","NTAGFU0005",53652,"Triodia bitextura have shed seeds. Grevillea wickhamii has commenced flowering.","NTA 002113","NTA 001729","NTA 002113","NTA 001796","NTA 001818","","NTA 001815","NTA 001791","","Corymbia drysdalensis / Corymbia Polycarpaea low woodland with an understratum dominated Triodia bitextura. Mid stratum of Acacia thomsonii and scattered Melaleuca viridiflora . Somewhat similar to previous site (NTAGFU0004) though very long unburnt.",FALSE
"66","NTAGFU0006-53653","NTAGFU0006",53653,"Triodia (bitextura and pungens) have all fruited and dropped seeds. Other grasses more or less finished. Eucalyptus microtheca  finished flowering. Acacia hilliana all flowering.","NTA 001894","","","","","","NTA 001887","NTA 001868","NTA 001875","Eucalyptus microtheca low woodland with diverse tussock grass understratum dominated by Eulalia aurea , Sehima nervosum with Triodia pungens . Mid stratum consisting only of scattered individual shrubs.",FALSE
"67","NTAGFU0014-53661","NTAGFU0014",53661,"Tussock grasses and Triodia pungens have dried off. Minimal fruiting in Eucalyptus microtheca. Melaleuca viridiflora has fruit. Some recruitment in Eucalyptus microtheca. ","NTA 002447","","","","","","NTA 002463","NTA 002461","NTA 002468","Eucalyptus microtheca low woodland with a mid-stratum of scattered Melaleuca viridiflora. Sparse ground stratum dominated by Fimbristylis dichotoma, Enteropogon minutus and Triodia pungens. Some recruitment in Eucalyptus microtheca. ",FALSE
"68","NTAFIN0020-53640","NTAFIN0020",53640,"","NTA 000834","","","","","","NTA 000821","NTA 000824","NTA 000840","Allocasuarina decaisneana low open woodland with grassy understratum dominated by Triodia basedowii and Eriachne aristidea as well as some Cenchrus ciliaris under trees.",FALSE
"69","NTAGFU0007-53654","NTAGFU0007",53654,"Acacia thomsonii is about to start flowering. Acacia hilliana is flowering. Triodia pungens has shed seeds. Some other forbs but mostly dry.","","","","NTA 001960","","","NTA 001948","","","Triodia pungens low closed hummock grassland with scattered Acacia hilliana and isolated Acacia thomsonii and 1 or 2 emergent Eucalyptus leucophloia. Southern boundary has slightly denser Acacia hilliana. ",FALSE
"70","NTAGFU0008-53655","NTAGFU0008",53655,"Tussock grasses (Aristida contorta, Tripogon loliiformis) and sedges ( Fimbristylis dichotoma) have seeded and dried off. Triodia pungens is still green but has shed seed.","","","","","","","NTA 002012","NTA 002011","NTA 002018","Triodia pungens low open hummock grassland with Aristida contorta, Fimbristylis dichotoma with Some scattered emergent Eucalyptus pruinosa.",FALSE
"71","NTAGFU0012-53659","NTAGFU0012",53659,"Eucalyptus leucophloia has seed pods which haven’t shed. Triodia ( both) have seeded.","NTA 002303",NA,NA,NA,NA,NA,"NTA 002294","NTA 002313","NTA 002309","Eucalyptus leucophloia mid Mallee woodland with aground stratum of Triodia bitextura with Chrysopogon fallax . Sparse mid stratum of isolated Dodonaea oxyptera and Acacia thomsonii. Triodia bitextura in dense patches throughout the site.",FALSE
"72","NTAGFU0019-53666","NTAGFU0019",53666,"Acacia wickhamii subsp. viscidula has just finished flowering throughout the site. Tussock grasses have more or less dried off as has Triodia bitextura . None of the Eucalyptus (tectifica and microtheca) appears to have fruited or flowered with very few buds or seed pods on the ground. ","NTA 002799","NTA 002831","","NTA 002829","NTA 002780","","NTA 002827","NTA 002832","NTA 002773","Corymbia drysdalensis low open woodland with Eucalyptus leucophloia A stratum of Acacia wickhamii subsp. viscidula, Acacia monticola and other shrubs and a diverse ground stratum of Schizachyrium fragile, Eulalia aurea and Triodia bitextura. Northern edge is more rocky.",FALSE
