"","site_unique","site_location_name","established_date","description","bioregion_name","landform_pattern","landform_element","site_slope","site_aspect","comments","outcrop_lithology","other_outcrop_lithology","plot_dimensions","site_location_visit_id","visit_start_date","visit_end_date","visit_notes","location_description","erosion_type","erosion_abundance","erosion_state","microrelief","drainage_type","disturbance","climatic_condition","vegetation_condition","observer_veg","observer_soil","described_by","pit_marker_easting","pit_marker_northing","pit_marker_mga_zones","pit_marker_datum","pit_marker_location_method","soil_observation_type","a_s_c","plot_is_100m_by_100m","plot_is_aligned_to_grid","plot_is_permanently_marked","latitude","longitude","point","state","lon_easting","lat_northing"
"11","NTASSD0019-53567","NTASSD0019","2013-03-25T00:00:00","Andado Station, 20 km west of Mac Clarke Conservation Reserve. 118km north east of Finke community","SSD","FLO","DDE","1","180","Outer margins of Casuarina Swamp (also sampled at site NTASSD0015). Evidence of fires in 2011 - dead Acacias, much bare soil.","NA","NC",NA,53567,"2013-03-25T00:00:00","2013-03-25T00:00:00","","20 kms west of Mac Clarke Conservation Reserve on Andado Station. ","NC","X","NC","B",4,"0","DRY","DRY",1,2,1,564614,7224440,53,"WGS84","GPS","P","NC",TRUE,TRUE,TRUE,-25.0944083333333,135.640791666667,"SW","NT",135.640797143409,-25.0944556607626
"12","SATSTP0004-58642","SATSTP0004","2013-08-15T12:00:00","Mount Lyndhurst Station, 40kms north of homestead.","STP","PLA","PLA","0",NA,"Senna artemisioides subsp. petiolaris / Eremophila maculata subsp. maculata / Acacia victoriae subsp. victoriae low open shrubland with scattered Santalum lanceolatum.  Site is homogeneous. Minor grazing by cattle.","NA","NA",NA,58642,"2018-08-03T15:17:29","2018-08-03T15:17:29","no data collected for basal wedge","Plot sits on flat plain, few depressions. No surface strew or outcrop visible. Weed impact is minimal. Site is long unburnt with no evidence of fire. Site appears to be heavily grazed by kangaroos but no apparent stock. Site situated approximately 70km NE of Lyndhurst and NW of Arkaroola Village. Homogeneity extends 200m an all direction. There is a track at NW corner. ","n/a","X","n/a","Z",4,"0","DRY","DRY",1,31,1,NA,NA,NA,NA,NA,"NC",NA,TRUE,TRUE,TRUE,-29.7914694444444,138.831855555556,"SW","SA",NA,NA
"13","SATSTP0004-53512","SATSTP0004","2013-08-15T12:00:00","Mount Lyndhurst Station, 40kms north of homestead.","STP","PLA","PLA","0",NA,"Senna artemisioides subsp. petiolaris / Eremophila maculata subsp. maculata / Acacia victoriae subsp. victoriae low open shrubland with scattered Santalum lanceolatum.  Site is homogeneous. Minor grazing by cattle.","NA","NA",NA,53512,"2013-08-15T12:00:00","2013-08-15T12:00:00","Insufficient woody veg for basal wedge measure.","Open shrubland of Acacia victoriae, Santalum lanceolatum, Acacia tetragonophylla, Eremophila sp and Maireana aphila on calcareous plain. Ground layer of Eragrostis sp. Mt Lyndhurst Station, 40kms north of homestead.","R","X","P","Z",4,"0","DRY","FFR",3,2,3,290428,6702345,54,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-29.7914694444444,138.831855555556,"SW","SA",138.831873463346,-29.7915187969891
"14","NTTMGD0001-53521","NTTMGD0001","2014-03-15T00:00:00","Newcastle Waters station. 10.6km north north west of homestead, 67km south of Dunmarra roadhouse","MGD","FLO","SWP","1","315","Grazing effect is low- no evidence of cattle. Probably heavily grazed at other times. Introduced species-some Stylosanthes but effect is low. Fire: long unburnt- no scaring on trees. Slope to the north west of about 1 degree down to Newcastle creek. Mix of metamorphosed rock sandstone gravel etc. likely washed down from surrounding hills. Homogeneity: North west corner is where water currently extends too. Site extends to the south 100m, east is edge of gas line track, 100m to the north and west.","NA","NA","100m x 100m.",53521,"2014-03-15T00:00:00","2014-03-15T00:00:00","Only 447 east west points ingested.","Newcastle Waters station. 10.6km north north west of homestead, 67km south of Dumarra roadhouse","NC","X","NC","X",3,"0","WET","FFR",1,2,1,332465,8088444,53,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-17.2829694444444,133.423894444444,"SW","NT",133.423841721523,-17.283080625421
"15","NTASSD0012-53560","NTASSD0012","2013-03-20T00:00:00","Andado Station, 20km south west of Andado Homestead. 55km east north east of Finke community","SSD","PLA","PLY","0",NA,"Gibber Plain with sandy micro relief.","NA","NC",NA,53560,"2013-03-20T00:00:00","2013-03-20T00:00:00","","15km west of Andado homestead","NC","2","NC","H",4,"1M","DRY","DRY",1,2,1,511628,7179329,53,"WGS84","GPS","P","NC",TRUE,TRUE,TRUE,-25.5032166666667,135.115711111111,"SW","NT",135.115707356392,-25.5031790829027
"16","NTASSD0017-53561","NTASSD0017","2013-03-21T00:00:00","Andado Station, 5km south west of Andado Homestead.  67km east north east of Finke Community","SSD","PLA","HCR","1","360","Low rise. Long unburnt, No weeds observed. Grazing impact low. Long haired rat holes in site. Adjacent to ACRIS bio monitoring site as16.","NA","NC",NA,53561,"2013-03-21T00:00:00","2013-03-21T00:00:00","Adjacent to ACRIS bio monitoring site as16 ","5km south west of Andado Homestead","NC","NC","NC","B",4,"1L","DRY","DRY",1,2,1,525974,7182249,53,"WGS84","GPS","P","NC",TRUE,TRUE,TRUE,-25.4765888888889,135.258422222222,"SW","NT",135.258403631291,-25.4766281787831
"17","SATSTP0003-58638","SATSTP0003","2013-08-15T00:00:00","Mount Lyndhurst Station about 40 km north of homestead.","STP","PLA","PLA","0",NA,"Site is on a plain with a gibber strew- Unidentified metamorphosed sandstone. Homogeneity- community extends 50m south. Track 60m from old Strzelecki track

","NA","NA",NA,58638,"2018-08-04T08:54:04","2018-08-04T08:54:04","no basal or LAI collected for this site","Site is on a plain with a gibber strew- Unidentified metamorphosed sandstone. Homogeneity- community extends 50m south. Track 60m from old Strzelecki track
","n/a","X","n/a","Z",4,"0","DRY","DRY",30,31,30,292027.549,6706388,54,"WGS84","GPS","PA",NA,TRUE,TRUE,TRUE,-29.7552833333333,138.849177777778,"SW","SA",138.849191425324,-29.7553271659877
"18","SATSTP0003-53511","SATSTP0003","2013-08-15T00:00:00","Mount Lyndhurst Station about 40 km north of homestead.","STP","PLA","PLA","0",NA,"Site is on a plain with a gibber strew- Unidentified metamorphosed sandstone. Homogeneity- community extends 50m south. Track 60m from old Strzelecki track

","NA","NA",NA,53511,"2013-08-15T00:00:00","2013-08-15T00:00:00",NA," Gibber plain with bare soil and gravel and small vegetated gilgai.  No weeds or feral herbivores.  Some grazing by cattle and macropods. Site is homogeneous.","R","1","A","Z",4,"0","DRY","AVG",3,2,3,292029,6706381,54,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-29.7552833333333,138.849177777778,"SW","SA",138.849205073917,-29.7553905398424
"19","NTASSD0018-53562","NTASSD0018","2013-01-01T00:00:00","Mac Clark Conservation Reserve, Andado station.  107km north east of Finke Community","SSD","PLA","HSL","1","270","Co-located on NTG ACRIS biomonitoring Site.","NA","NC",NA,53562,"2013-03-22T23:48:22","2013-03-22T23:48:22"," Co-located on NTG ACRIS Biomon Site.","Mac Clark Conservation Reserve, Andado. Co-located on NTG ACRIS Biomon Site.","NC","0","NC","B",4,"0","DRY","DRY",1,2,1,552679,7220793,53,"WGS84","GPS","P","NC",TRUE,TRUE,TRUE,-25.1279333333333,135.522638888889,"SW","NT",135.522578355646,-25.1278542179173
"20","NTTPCK0001-53584","NTTPCK0001","2014-03-19T00:00:00","Manton Dam Conservation Reserve. 22km north east of Bachelor, 56km south east of Darwin","PCK","LOW","HSL","5","135","Low hills surrounding Manton dam. Roughly 5 degree slope to the south east. Gets steeper to the south east corner where it dips into a gully. Subsurface damp. Recent fire possibly in last dry season. Check with Bushfires NT plot data (site is Co-located with Bushfires Leaf fall plot) Introduced species- none noted. Grazing effect: nil. Strew is mostly gravels with some boulders at south west corner probably granite- check soil sheet. Smaller strew is a mix of quartz and mudstone likely washed in from hill above site.","SD","NA",NA,53584,"2014-03-19T00:00:00","2014-03-19T00:00:00","","Manton dam conservation reserve. 22km north east of Bachelor, 56km south east of Darwin","R","1","P","X",6,"0","WET","FFR",1,8,1,730922,8576160,52,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-12.8719611111111,131.126994444444,"SW","NT",131.127927650802,-12.8711291811361
"21","NTTDAC0001-53755","NTTDAC0001","2014-03-18T00:00:00","Litchfield National Park. 27 km south west of Bachelor","DAC","PLA","PLA","0",NA,"No surface strew apart from some ironstone gravel. Fire a few years ago with scorch marks 1/3 of the way up the trees. No introduced species noted. Grazing effect: nil. Homogeneous plot in a vegetation community that extends south, west and east for >200m from centre of plot and north to the adjoining road reserve.","NA","NA",NA,53755,"2014-03-18T00:00:00","2014-03-18T00:00:00","","Litchfield National Park. 27 km south west of Bachelor.","NC","X","NC","Z",5,"0","WET","FFR",3,8,3,694644,8546801,52,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-13.1398326944444,130.795687083333,"SW","NT",130.795663181208,-13.1389838422587
"22","NTAMAC0002-53575","NTAMAC0002","2014-10-08T09:44:32","Owen Springs Reserve. 55km south west of Alice Springs","MAC","FLO","STC","2","180","Site in main channel of Hugh river, north of Waterhouse Range. Long unburnt- no scarring on any trees + sparse ground cover. Some grasses grazed likely by kangaroos, overall effect low. Introduced species affect moderate, some Cenchrus ciliaris, Cynodon dactylon, Sonchus spp. and Argemone sp. but also large number of native species. Undulating terrain but overall slope is to the south. North of gas line track. Homogeneity- east and west of the site is the edge of the main river channel. The community continues in the river channel 100m north and south of the site.","NA","NC",NA,53575,"2014-10-07T09:44:00","2014-10-07T09:44:00","point intercept substrate entry `unknown` is eucalyptus exposed root.","Owen Springs Reserve. 55km south west of Alice Springs","G","2","P","Z",6,"0","DRY","DRY",13,13,13,337548,7349097,53,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-23.9616444444444,133.403508333333,"SW","NT",133.403421049755,-23.9616765657245
"23","NTAMAC0002-58734","NTAMAC0002","2014-10-08T09:44:32","Owen Springs Reserve. 55km south west of Alice Springs","MAC","FLO","STC","2","180","Site in main channel of Hugh river, north of Waterhouse Range. Long unburnt- no scarring on any trees + sparse ground cover. Some grasses grazed likely by kangaroos, overall effect low. Introduced species affect moderate, some Cenchrus ciliaris, Cynodon dactylon, Sonchus spp. and Argemone sp. but also large number of native species. Undulating terrain but overall slope is to the south. North of gas line track. Homogeneity- east and west of the site is the edge of the main river channel. The community continues in the river channel 100m north and south of the site.","NA","NC",NA,58734,"2019-05-29T11:01:54","2019-05-29T11:01:54",NA,"Largely unchanged since previous visit- no fire or flood since last visit. Minimal grazing. Introduced plant species relatively unchanged- dominated by Cenchrus ciliaris and Cynodon dactylon. The landform is unchanged- still in the channel of the river. No significant river flow in the previous years. Homogeneity runs 75m from centre picket, remains in a broad river channel and is 10m from a gas line track. Mining of gravel has occurred near the SE corner and includes the 1st meter of WE transect. It doesn’t look like it has impacted vegetation but has taken out the corner picket. 
","G","2","A","Z",5,"8","DRY","DRY",1,32,1,NA,NA,NA,NA,NA,"NC",NA,TRUE,TRUE,TRUE,-23.9616444444444,133.403508333333,"SW","NT",NA,NA
"24","NTTSTU0001-53585","NTTSTU0001","2014-03-15T00:00:00","Hayfield Station. 27km north west of homestead, 15 km north west of Dunmarra roadhouse","STU","PLA","PLA","0",NA,"Termites mounds prominent. No surface strew or lithology. Lots of dead wood. No sign of recent fire -5+ years. No introduced plant species noted. Grazing effect- minimal. Recent rain with soil very damp.","NA","NA",NA,53585,"2014-03-15T00:00:00","2014-03-15T00:00:00","","Hayfield station. 27km north west of homestead, 15 km North west of Dunmarra roadhouse","NC","X","NC","X",3,"0","WET","FFR",3,8,3,315602,8160540,53,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-16.6302416666667,133.271158333333,"SW","NT",133.271214534608,-16.6303536790793
"25","NTAMGD0001-53520","NTAMGD0001","2014-03-13T00:00:00","Soudan Station. 83km West south west of Camooweal.","MGD","PLA","DDE","0",NA,"Site is in broad drainage depression. Grazing effect is low at present- 2km from water point but no grazing since end of previous dry season. Introduced plant effect low- none noted. Fire- long unburnt with no scarring on trees and low ground cover to carry fire. End of the wet season.  Very little litter other than that from the Acacia georginae. Site is more or less flat. Sloping away slightly at the south west corner rising onto the Mitchell grass. Strew is mostly gravel not much larger than 50mm- mixed metamorphosed strew of sandstone, mudstone etc.","NA","NA",NA,53520,"2014-03-13T00:00:00","2014-03-13T00:00:00","transects numbers for first two east west transects need to be reversed. west2 to east2 should be called west1 to east1 
east1 to west1 should be called east2 to west2","Soudon Station. 83km West south west of Camooweal.","R","1","S","Z",4,"0","WET","FFR",1,2,1,743436,7784261,53,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-20.0230222222222,137.327141666667,"SW","NT",137.327035292252,-20.0231734943101
"26","NTAMGD0002-53466","NTAMGD0002","2014-03-12T00:00:00","Soudan Station,  about 84kms west of Camooweal. Close to Six Mile Creek on western side, north of Barkly Highway.","MGD","FLO","PLA","2","45","Site on gently sloping clay plain. Lots of gravel and bare ground. 2 degrees slope to the north east. Site is 100m south of an Acacia georginae community ( site NTAMGD0001). No introduced plants noted. Grazing effect is low-Cattle present but effect is minimal at present. Recent rain with most forbs and grasses fruiting and flowering. No woody vegetation. Fire history difficult to tell- none within last 2 years. Site is homogenous and sited >300 metres from wooded margins of Georgina River.","NA","NA",NA,53466,"2014-03-12T00:00:00","2014-03-12T00:00:00","Insufficient woody vegetation for basal wedge measure.","Soudan Station 84km west of Camooweal. Close to Six Mile Creek on western side, north of Barkly Highway. ","S","1","S","Z",4,"0","WET","FFR",1,2,1,743411,7784206,53,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-20.0246361111111,137.3258,"SW","NT",137.326803771832,-20.0236732395983
"27","NTAMAC0003-53576","NTAMAC0003","2014-10-07T10:07:37","Owen Springs Reserve. 11km south west of ranger station. 54km south west of Alice Springs.","MAC","FLO","FLD","0",NA,"Site on outer floodplain of Hugh river north of Waterhouse Range. Long unburnt. Introduced species effect severe- Ground layer dominated by Cenchrus ciliaris. Grazing effect minimal though likely very heavy in the past ( close to old Owen Springs homestead.) Homogeneity- 50m + to the west to main channel, 100m to the south. To the north and east is low Mulga dominated rise.","NA","NC","100 x 100 m.",53576,"2014-10-06T12:00:00","2014-10-06T10:07:00","No Basal wedge","Owen Springs Reserve. 11km south west of ranger station. 54km south west of Alice Springs","n/a","X","n/a","Z",5,"0","DRY","FFR",1,2,1,338073,7349381,53,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-23.9590944444444,133.408488888889,"SW","NT",133.40861067933,-23.959165947785
"28","NTAMAC0003-58740","NTAMAC0003","2014-10-07T10:07:37","Owen Springs Reserve. 11km south west of ranger station. 54km south west of Alice Springs.","MAC","FLO","FLD","0",NA,"Site on outer floodplain of Hugh river north of Waterhouse Range. Long unburnt. Introduced species effect severe- Ground layer dominated by Cenchrus ciliaris. Grazing effect minimal though likely very heavy in the past ( close to old Owen Springs homestead.) Homogeneity- 50m + to the west to main channel, 100m to the south. To the north and east is low Mulga dominated rise.","NA","NC","100 x 100 m.",58740,"2019-05-29T14:18:07","2019-05-29T14:18:07","N4-S4 and N5-S5 transects missing","Unchanged since last visit. Grazing is lightly less, lack of cows and kangaroos due to the drier conditions. It hasn’t been burnt for a significant amount of time. The land form elements, is still a flood plain. Minimal surface strew though some Alluvial wash, unconsolidated material possible sandstone.
","n/a","0","n/a","Z",4,"0","DRY","DRY",30,32,30,NA,NA,NA,NA,NA,"NC",NA,TRUE,TRUE,TRUE,-23.9590944444444,133.408488888889,"SW","NT",NA,NA
"29","NTAMAC0001-53574","NTAMAC0001","2014-10-06T11:29:31","Owen Springs Reserve.60km south west of Alice springs
","MAC","SAN","DUS","2","270","Site on broad sandplain to the north of Waterhouse Range. Site burnt mid 2011, Regeneration underway in shrub layer. Minimal grazing effect, some old camel scats. Introduced species effect minimal- some scattered clumps of Cenchrus ciliaris. South of new powerline track.","NA","NAP","100m x 100m.",53574,"2014-10-06T11:29:31","2014-10-06T11:29:31","AusPlots methodology Training site ","Owen Springs Reserve.60km south west of Alice springs
","n/a","X","n/a","Z",4,"0","DRY","FFR",1,2,1,334386,7348591,53,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-23.9659083333333,133.3723,"SW","NT",133.37229720717,-23.9659187586663
"30","NTAMAC0001-58791","NTAMAC0001","2014-10-06T11:29:31","Owen Springs Reserve.60km south west of Alice springs
","MAC","SAN","DUS","2","270","Site on broad sandplain to the north of Waterhouse Range. Site burnt mid 2011, Regeneration underway in shrub layer. Minimal grazing effect, some old camel scats. Introduced species effect minimal- some scattered clumps of Cenchrus ciliaris. South of new powerline track.","NA","NAP","100m x 100m.",58791,"2019-05-29T13:10:06","2019-05-29T13:10:06",NA,"Grazing impact is minimal, possible kangaroos around the site. The surface strew is limited to small amount of sandstone gravel. ","n/a","0","n/a","AM",4,"0","DRY","DRY",30,32,30,NA,NA,NA,NA,NA,"NC",NA,TRUE,TRUE,TRUE,-23.9659083333333,133.3723,"SW","NT",NA,NA
"31","SATSTP0007-53515","SATSTP0007","2013-08-18T00:00:00","Murnpeowie Station, about 35 km north west of homestead.
","STP","PLA","DDE","0",NA,"In the centre of seasonal swamp / drainage depression. Weeds present and evidence of heavy grazing though no cattle present at time of site visit. Site is homogeneous.


","NA","NA",NA,53515,"2013-08-18T00:00:00","2013-08-18T00:00:00",NA," Murnpeowie Station about 35 kms northwest of homestead.","E","0","P","Z",2,"1M","DRY","DRY",3,2,3,288463,6730643,54,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-29.53599751,138.81710684,"SW","SA",138.817076287389,-29.5359789609565
"32","SATSTP0007-58637","SATSTP0007","2013-08-18T00:00:00","Murnpeowie Station, about 35 km north west of homestead.
","STP","PLA","DDE","0",NA,"In the centre of seasonal swamp / drainage depression. Weeds present and evidence of heavy grazing though no cattle present at time of site visit. Site is homogeneous.


","NA","NA",NA,58637,"2018-08-04T15:19:59","2018-08-04T15:19:59",NA,"Plot sits on drainage depression. No surface strew visible. Weed impact low- Tribulus.  Homogeneity- community extends 250m north and east, and 100m south No Surface strew or outcrops. Effect of grazing-high cows and kangaroos.

","n/a","X","n/a","Z",2,"1M","DRY","DRY",1,13,1,NA,NA,NA,NA,NA,"NC",NA,TRUE,TRUE,TRUE,-29.53599751,138.81710684,"SW","SA",NA,NA
"33","SATSTP0008-53516","SATSTP0008","2013-08-18T00:00:00","Murnpeowie Station, 50km north west of homestead.","STP","PLA","PLA","0",NA,"Astrebla pectinata low sparse grassland with scattered Plantago drummondii and Tripogon loliiformis on a gibber plain.","NA","NA",NA,53516,"2013-08-18T00:00:00","2013-08-18T00:00:00","No woody veg for basal wedge"," Murnpeowie Station 50kms northwest of homestead. ","E","0","P","C",4,"NC","DRY","FFR",3,2,3,294396,6747171,54,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-29.38785704,138.88137852,"SW","SA",138.881367285884,-29.3879019753474
